"Date","Price","Open","High","Low","Change %"
"Jul 22, 2019","1.3127","1.3055","1.3131","1.3040","0.56%"
"Jul 21, 2019","1.3055","1.3066","1.3066","1.3053","-0.05%"
"Jul 19, 2019","1.3062","1.3028","1.3111","1.3014","0.27%"
"Jul 18, 2019","1.3027","1.3052","1.3097","1.3023","-0.17%"
"Jul 17, 2019","1.3049","1.3088","1.3095","1.3033","-0.30%"
"Jul 16, 2019","1.3088","1.3049","1.3093","1.3021","0.30%"
"Jul 15, 2019","1.3049","1.3034","1.3055","1.3019","0.11%"
"Jul 14, 2019","1.3035","1.3032","1.3039","1.3025","0.03%"
"Jul 12, 2019","1.3031","1.3072","1.3080","1.3016","-0.33%"
"Jul 11, 2019","1.3074","1.3083","1.3093","1.3040","-0.06%"
"Jul 10, 2019","1.3082","1.3129","1.3145","1.3060","-0.34%"
"Jul 09, 2019","1.3127","1.3097","1.3143","1.3086","0.25%"
"Jul 08, 2019","1.3094","1.3071","1.3105","1.3047","0.13%"
"Jul 07, 2019","1.3077","1.3074","1.3079","1.3070","0.00%"
"Jul 05, 2019","1.3077","1.3053","1.3138","1.3043","0.19%"
"Jul 04, 2019","1.3052","1.3059","1.3081","1.3035","-0.02%"
"Jul 03, 2019","1.3055","1.3109","1.3121","1.3055","-0.39%"
"Jul 02, 2019","1.3106","1.3134","1.3139","1.3094","-0.22%"
"Jul 01, 2019","1.3135","1.3093","1.3146","1.3062","0.33%"
"Jun 30, 2019","1.3091","1.3088","1.3096","1.3063","-0.00%"
"Jun 28, 2019","1.3092","1.3095","1.3105","1.3057","-0.02%"
"Jun 27, 2019","1.3095","1.3126","1.3138","1.3088","-0.24%"
"Jun 26, 2019","1.3127","1.3167","1.3195","1.3105","-0.32%"
"Jun 25, 2019","1.3169","1.3181","1.3210","1.3150","-0.08%"
"Jun 24, 2019","1.3179","1.3220","1.3223","1.3176","-0.16%"
"Jun 23, 2019","1.3201","1.3223","1.3223","1.3200","-0.17%"
"Jun 21, 2019","1.3223","1.3189","1.3231","1.3160","0.24%"
"Jun 20, 2019","1.3191","1.3281","1.3288","1.3149","-0.67%"
"Jun 19, 2019","1.3280","1.3377","1.3385","1.3276","-0.73%"
"Jun 18, 2019","1.3377","1.3413","1.3434","1.3373","-0.27%"
"Jun 17, 2019","1.3413","1.3407","1.3421","1.3391","0.03%"
"Jun 16, 2019","1.3410","1.3407","1.3413","1.3405","-0.03%"
"Jun 14, 2019","1.3413","1.3326","1.3424","1.3321","0.65%"
"Jun 13, 2019","1.3326","1.3343","1.3345","1.3298","-0.13%"
"Jun 12, 2019","1.3343","1.3284","1.3346","1.3271","0.47%"
"Jun 11, 2019","1.3281","1.3269","1.3310","1.3248","0.11%"
"Jun 10, 2019","1.3267","1.3248","1.3282","1.3226","-0.02%"
"Jun 09, 2019","1.3269","1.3254","1.3271","1.3225","0.01%"
"Jun 07, 2019","1.3268","1.3359","1.3370","1.3260","-0.71%"
"Jun 06, 2019","1.3363","1.3413","1.3432","1.3357","-0.39%"
"Jun 05, 2019","1.3415","1.3395","1.3431","1.3362","0.17%"
"Jun 04, 2019","1.3392","1.3439","1.3454","1.3379","-0.33%"
"Jun 03, 2019","1.3436","1.3523","1.3531","1.3434","-0.64%"
"Jun 02, 2019","1.3522","1.3513","1.3528","1.3513","0.06%"
"May 31, 2019","1.3514","1.3501","1.3566","1.3490","0.10%"
"May 30, 2019","1.3500","1.3520","1.3522","1.3483","-0.16%"
"May 29, 2019","1.3521","1.3494","1.3548","1.3479","0.21%"
"May 28, 2019","1.3492","1.3443","1.3500","1.3431","0.36%"
"May 27, 2019","1.3443","1.3433","1.3454","1.3428","0.04%"
"May 26, 2019","1.3438","1.3433","1.3442","1.3432","0.00%"
"May 24, 2019","1.3438","1.3474","1.3484","1.3428","-0.27%"
"May 23, 2019","1.3474","1.3436","1.3502","1.3429","0.32%"
"May 22, 2019","1.3431","1.3409","1.3440","1.3355","0.17%"
"May 21, 2019","1.3408","1.3429","1.3437","1.3395","-0.15%"
"May 20, 2019","1.3428","1.3461","1.3465","1.3414","-0.14%"
"May 19, 2019","1.3447","1.3462","1.3465","1.3441","-0.08%"
"May 17, 2019","1.3457","1.3458","1.3515","1.3432","-0.01%"
"May 16, 2019","1.3459","1.3438","1.3472","1.3398","0.16%"
"May 15, 2019","1.3438","1.3460","1.3494","1.3423","-0.17%"
"May 14, 2019","1.3461","1.3477","1.3489","1.3453","-0.12%"
"May 13, 2019","1.3477","1.3422","1.3486","1.3415","0.26%"
"May 12, 2019","1.3442","1.3420","1.3442","1.3415","0.22%"
"May 10, 2019","1.3413","1.3477","1.3483","1.3377","-0.48%"
"May 09, 2019","1.3478","1.3479","1.3504","1.3456","-0.01%"
"May 08, 2019","1.3479","1.3473","1.3488","1.3442","0.04%"
"May 07, 2019","1.3474","1.3448","1.3490","1.3408","0.19%"
"May 06, 2019","1.3448","1.3435","1.3495","1.3430","-0.18%"
"May 05, 2019","1.3472","1.3431","1.3476","1.3428","0.39%"
"May 03, 2019","1.3420","1.3475","1.3490","1.3402","-0.41%"
"May 02, 2019","1.3475","1.3443","1.3478","1.3429","0.24%"
"May 01, 2019","1.3443","1.3388","1.3463","1.3375","0.40%"
"Apr 30, 2019","1.3389","1.3459","1.3483","1.3380","-0.51%"
"Apr 29, 2019","1.3458","1.3457","1.3481","1.3438","-0.03%"
"Apr 28, 2019","1.3463","1.3456","1.3464","1.3455","0.06%"
"Apr 26, 2019","1.3455","1.3487","1.3499","1.3449","-0.22%"
"Apr 25, 2019","1.3485","1.3494","1.3517","1.3478","-0.04%"
"Apr 24, 2019","1.3491","1.3424","1.3523","1.3416","0.50%"
